product_name,status,bp_eur,bp_eur_cz,delivery_month,available,available_cz,released_rtd,brand,panel_colour,panel_design,panel_power,inverter_power,nomenclature_group,delivery_cw,length,height,width,pcs_ctn,pcs_pal
roof protection mat alu 370x150mm,       ,0.0,0.0,,2450,2450,0,MOUNTING,,,0,0,CON_MNT,,0.0,0.0,0.0,0,0
ANTAI_A0102-TYN424-01 Beam,       ,13.619,13.619,,577,577,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,5300.0,0,0
ANTAI_A0104-TYN417-01 Rail,       ,14.592,14.592,,880,880,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,4700.0,0,0
ANTAI_A0301-F35x35x2-01 Pole,       ,0.844,0.9,,10,10,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,210.0,0,0
AC200MAX POWER STATION BLUETTI,       ,1381.0,1381.0,,0,0,0,BLUETTI,,,0,0,PPS_BLU,,280.0,386.5,420.0,0,0
AC300 POWER STATION BLUETTI,       ,1290.0,1290.0,,3,3,0,BLUETTI,,,0,0,PPS_BLU,,320.0,358.0,520.0,0,0
Nanocarport_Y COMMERCIAL BASIC PACKAGE 3x16 5 cars,       ,4620.0,4620.0,,7,7,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
Nanocarport_Y COMMERCIAL EXTENSION PKG. 3x3 1car,       ,867.0,867.0,,16,16,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
ANTAI_JBS0005600 Self-Tapping Screw,       ,0.07,0.07,,700,700,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
Nanoracking Argo PV SET_1_12142022 13.85(H)x8.5(V),       ,3577.0,3577.0,,2,2,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
Nanoracking Argo PV SET_2_12142022 27.6(H)x8.5(V),       ,7154.0,7154.0,,6,6,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
Nanoracking Argo PV SET_3_12142022 34.45(H)x16.3 V,       ,11025.0,11025.0,,1,1,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
Antai_Tile Roof Hook 2 W30 H70,       ,3.75,3.75,,500,500,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
Antai_Tile Roof Hook 3 W30 H185,       ,4.3,4.3,,300,300,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
ANTAI_WIND DEFLECTOR,       ,2.8,2.8,,167,167,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
AVANCIS POWERMAX SKALA 130W Green 4002,       ,2.0,2.0,,1,1,0,AVANCIS,FF_GREEN,,130,0,PAN_AVC,,686.0,45.0,1595.0,0,20
AVANCIS POWERMAX SKALA 150W B901,       ,1.7333,1.7333,,1,1,0,AVANCIS,,,150,0,PAN_AVC,,686.0,45.0,1595.0,0,20
AVANCIS SKALA 100W 1202 RED,       ,2.6,2.6,,1,1,0,AVANCIS,,,100,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA 115W,       ,2.2609,2.2609,,1,1,0,AVANCIS,,,115,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA 125W,       ,2.08,2.08,,1,1,0,AVANCIS,,,125,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA 130W,       ,2.0,2.0,,1,1,0,AVANCIS,,,130,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA 130W B,       ,2.0,2.0,,1,1,0,AVANCIS,,,130,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA G002 130W Grey,       ,2.0,2.0,,1,1,0,AVANCIS,FF_GREY,,130,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA 135W 7002 Dark Blue,       ,1.9259,1.9259,,1,1,0,AVANCIS,FF_DARK_BLUE,,135,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA 140W,       ,1.8571,1.8571,,1,1,0,AVANCIS,,,140,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA B001 140W Black,       ,1.8571,1.8571,,1,1,0,AVANCIS,,,140,0,PAN_AVC,,664.0,38.0,1587.0,0,20
AVANCIS SKALA B001 140W Black,       ,1.3571,1.5,03/2024,1,0,0,AVANCIS,,,140,0,PAN_AVC,12,664.0,38.0,1587.0,0,20
ANTAI_B0601-JDP20-01 Earthing Clip,       ,0.055,0.055,,14231,14231,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
ANTAI_B0601-JDP29-01 Earthing Clip,       ,0.058,0.058,,2860,2860,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0
B230 BATTERY BLUETTI,       ,964.0,964.0,,4,4,0,BLUETTI,,,0,0,PPS_BLU,,280.0,227.5,420.0,0,0
B300 BATTERY BLUETTI,       ,1378.0,1378.0,,18,18,0,BLUETTI,,,0,0,PPS_BLU,,320.0,266.0,520.0,0,0
